,dataset_name,model_type,seed,performance,performance_type,n_labels,f1_upper,f1_lower,n_epoch,precision,recall,weighted_f1,accuracy,footnote,name,source,task
307,climate_sentiment,Llama-8B,42,0.7142079986399762,f1_score,,0.764433729636262,0.6584012393900642,,0.703416563114839,0.732080616326478,0.7399725300996339,0.7375,,climate_sentiment,\citet{bingler2023cheaptalkspecificitysentiment},Sentiment Analysis
308,climaQA,Llama-8B,42,0.5724427507611985,f1_score,,0.6021505272180854,0.540263264295077,,0.7217238017752563,0.621,0.5724427507611985,0.621,,climaQA,\citet{spokoyny2023answering},Question answering
309,climate_commitments_actions,Llama-8B,42,0.6461742591773552,f1_score,,0.6971357409713574,0.5936501228078068,,0.6663533834586466,0.6952564809707666,0.669311145510836,0.65625,,climate_commitments_actions,\citet{bingler2023cheaptalkspecificitysentiment},Claim characteristics
310,esgbert_category_water,Llama-8B,42,0.893736202181291,f1_score,,0.9409707244978625,0.8338839501918851,,0.9282142857142855,0.86851487582985,0.9276256755710888,0.9302325581395348,,esgbert_category_water,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
311,green_claims,Llama-8B,42,0.8999816816266716,f1_score,,0.9691883966476356,0.8233818257346227,,0.903846153846154,0.8965141612200436,0.9098454211112208,0.9102564102564102,,green_claims,\citet{vinicius_woloszyn_towards_2021},Claim detection
312,gw_stance_detection,Llama-8B,42,0.6443178179135959,f1_score,,0.7114743738282372,0.5745252673182721,,0.6344718178424785,0.6629780186690756,0.6430301879156695,0.6432160804020101,,gw_stance_detection,\citet{luo_detecting_2020},Stance classification
313,esgbert_g,Llama-8B,42,0.7557605035865905,f1_score,,0.813482545045045,0.689982878831113,,0.7510822510822511,0.8181132592897299,0.7909856068529308,0.7783505154639175,,esgbert_g,\citet{schimanski_bridging_2023},ESG topic classification
314,sciDCC,Llama-8B,42,0.2027069663346037,f1_score,,0.2256327487146724,0.1791625024687436,,0.364650492486673,0.2442073372904626,0.2357916092318345,0.25,,sciDCC,\citet{mishra2021neuralnere},Climate Sub-thematic topic classification
315,climateBUG_data,Llama-8B,42,0.752890557512127,f1_score,,0.7800707350715403,0.7266650230859616,,0.8073155168530891,0.762,0.7528905575121271,0.762,,climateBUG_data,\citet{yu_climatebug_2024},Climate Topic Classification
316,esgbert_e,Llama-8B,42,0.9509501797637392,f1_score,,0.9820133722572748,0.9115551502377864,,0.9553409385532796,0.946882951653944,0.957918881780804,0.9581151832460733,,esgbert_e,\citet{schimanski_bridging_2023},ESG topic classification
317,ClimaTOPIC,Llama-8B,42,0.4732102727116067,f1_score,,0.4970612217822554,0.4436952294211666,,0.4967925626816065,0.5043865939950277,0.4728145348772464,0.504,,ClimaTOPIC,\citet{spokoyny2023answering},Climate Sub-thematic topic classification
318,lobbymap_pages,Llama-8B,42,0.6262990127293823,f1_score,,0.6534059662591086,0.5969865096720082,,0.6758907448562621,0.6801725720580136,0.6285248802755786,0.6264501160092807,,lobbymap_pages,\citet{morio2023an},Stance classification
